Nome,Punteggio,Fantamedia anno 2023-2024,Fantamedia anno 2022-2023,Fantamedia anno 2021-2022,Presenze 2023-2024,Fanta Media 2023-2024,FM su tot gare 2023-2024,Presenze previste,Gol previsti,Assist previsti,Ruolo,Skills,Buon investimento,Resistenza infortuni,Consigliato prossima giornata,Nuovo acquisto,Infortunato,Squadra,Trend,Presenze campionato corrente
DEULOFEU GERARD,67,nd,7.07,7.67,0,0.00,0.00,21/30,8/11,8/11,ATT,"['Panchinaro', 'Buona Media', 'Goleador', 'Assistman', 'Rigorista', 'Piazzati', 'Falloso']",40,40,False,False,True,Udinese,STABLE,0
NOSLIN TIJJANI,67,6.97,nd,nd,15,6.97,2.83,21/30,3/5,3/5,ATT,"['Titolare', 'Goleador', 'Assistman']",40,60,True,True,False,Lazio,STABLE,15
BENEDYCZAK ADRIAN,67,nd,nd,nd,31,0.00,0.00,30+,4/7,3/5,ATT,"['Outsider', 'Titolare', 'Goleador', 'Giovane talento']",60,60,False,True,True,Parma,STABLE,0
GYASI EMMANUEL,65,5.63,5.80,6.04,27,5.63,4.11,21/30,3/5,0/3,ATT,"['Outsider', 'Titolare', 'Falloso']",40,60,False,False,False,Empoli,DOWN,27
ESPOSITO SEBASTIANO,66,nd,nd,nd,0,0.00,0.00,11/20,4/7,3/5,ATT,"['Outsider', 'Panchinaro', 'Goleador', 'Giovane talento']",40,60,False,True,False,Empoli,STABLE,0
BONNY ANGE-YOAN,66,nd,nd,nd,35,0.00,0.00,21/30,4/7,4/7,ATT,"['Outsider', 'Titolare', 'Assistman', 'Giovane talento']",60,60,False,False,False,Parma,STABLE,0
PETAGNA ANDREA,66,6.00,6.56,6.92,15,6.00,2.43,11/20,4/7,3/5,ATT,"['Panchinaro', 'Falloso']",40,60,False,False,False,Monza,DOWN,15
NDOYE DAN,65,6.08,nd,nd,30,6.08,4.93,11/20,3/5,3/5,ATT,"['Panchinaro', 'Assistman', 'Piazzati', 'Giovane talento']",40,60,False,False,False,Bologna,STABLE,30
KARLSSON JESPER,65,5.90,nd,nd,5,5.90,0.80,21/30,4/7,4/7,ATT,"['Outsider', 'Titolare', 'Goleador', 'Assistman']",60,40,False,False,False,Bologna,STABLE,5
TCHAOUNA LOUM,65,6.52,nd,nd,27,6.52,4.76,11/20,3/5,3/5,ATT,"['Outsider', 'Panchinaro', 'Assistman', 'Giovane talento']",40,60,False,True,False,Lazio,STABLE,27
VERDI SIMONE,65,nd,6.70,7.41,0,0.00,0.00,21/30,4/7,4/7,ATT,"['Titolare', 'Goleador', 'Rigorista', 'Piazzati']",60,40,False,False,False,Como,STABLE,0
TAREMI MEHDI,65,nd,nd,nd,23,7.06,4.39,11/20,4/7,3/5,ATT,"['Panchinaro', 'Buona Media', 'Assistman']",40,40,False,True,False,Inter,STABLE,0
LUCCA LORENZO,65,6.75,nd,nd,32,6.75,5.84,21/30,8/11,3/5,ATT,"['Titolare', 'Goleador', 'Rigorista', 'Piazzati', 'Giovane talento']",40,60,False,False,False,Udinese,STABLE,32
YILDIZ KENAN,64,6.09,nd,nd,16,6.09,2.63,21/30,8/11,3/5,ATT,"['Titolare', 'Giovane talento']",40,60,True,False,False,Juventus,STABLE,16
OUDIN REMI,64,6.52,6.30,nd,29,6.52,5.11,11/20,3/5,0/3,ATT,"['Titolare', 'Assistman']",40,40,False,False,False,Lecce,UP,29
CHUKWUEZE SAMUEL,64,6.05,nd,nd,19,6.05,3.11,21/30,4/7,4/7,ATT,"['Titolare', 'Goleador', 'Assistman']",60,60,False,False,False,Milan,STABLE,19
PICCOLI ROBERTO,63,6.45,6.22,6.19,30,6.45,5.23,21/30,8/11,3/5,ATT,"['Outsider', 'Titolare', 'Goleador', 'Falloso']",40,60,False,True,False,Cagliari,UP,30
BELOTTI ANDREA,63,6.86,5.75,7.29,22,6.86,4.08,11/20,4/7,3/5,ATT,"['Panchinaro', 'Goleador', 'Rigorista']",40,40,False,True,False,Como,UP,22
SANCHEZ ALEXIS,63,6.81,nd,6.91,18,6.81,3.31,11/20,8/11,4/7,ATT,"['Outsider', 'Titolare', 'Buona Media', 'Assistman']",40,40,False,True,True,Udinese,STABLE,18
BREKALO JOSIP,63,6.18,6.00,6.87,11,6.18,1.84,11/20,3/5,3/5,ATT,"['Panchinaro', 'Buona Media']",40,60,False,False,False,Fiorentina,UP,11
CANCELLIERI MATTEO,62,6.15,5.83,6.60,33,6.15,5.49,0/10,0/3,0/3,ATT,"['Panchinaro', 'Falloso', 'Giovane talento']",40,80,False,True,False,Parma,UP,33
ISAKSEN GUSTAV,62,6.46,nd,nd,23,6.46,4.02,21/30,4/7,3/5,ATT,"['Panchinaro', 'Goleador']",60,60,True,False,False,Lazio,STABLE,23
PELLEGRI PIETRO,61,6.11,6.50,6.15,14,6.11,2.31,21/30,4/7,0/3,ATT,"['Panchinaro', 'Goleador', 'Giovane talento']",40,80,False,False,False,Torino,DOWN,14
PEDRO ELEIZIER R. LEDESMA,58,6.00,6.53,7.17,26,6.00,4.22,11/20,4/7,4/7,ATT,"['Panchinaro', 'Goleador']",60,40,True,False,False,Lazio,DOWN,26
BURNETE RARES,60,nd,nd,nd,0,0.00,0.00,0/10,0/3,0/3,ATT,"['Panchinaro', 'Giovane talento']",20,60,False,False,False,Lecce,STABLE,0
TOURE EL BILAL,60,6.71,nd,nd,7,6.71,1.27,21/30,4/7,0/3,ATT,"['Panchinaro', 'Goleador', 'Giovane talento']",60,40,False,False,False,Atalanta,STABLE,7
SANSONE NICOLA,59,6.31,7.13,6.30,21,6.31,3.58,21/30,4/7,4/7,ATT,"['Panchinaro', 'Buona Media', 'Assistman', 'Rigorista']",60,40,False,False,False,Lecce,DOWN,21
CAPRARI GIANLUCA,59,5.90,6.40,7.81,5,5.90,0.80,21/30,4/7,3/5,ATT,"['Titolare', 'Buona Media', 'Rigorista', 'Piazzati']",60,40,False,False,False,Monza,DOWN,5
COSTA JOAO,59,nd,nd,nd,0,0.00,0.00,0/10,0/2,0/2,ATT,"['Panchinaro', 'Giovane talento']",20,60,False,False,False,Roma,STABLE,0
EKUBAN CALEB,59,6.68,nd,5.84,22,6.68,3.97,11/20,3/5,3/5,ATT,['Panchinaro'],40,40,False,False,False,Genoa,STABLE,22
FADERA ALIEU,59,nd,nd,nd,16,0.00,0.00,11/20,3/5,3/5,ATT,"['Outsider', 'Panchinaro', 'Assistman', 'Giovane talento']",40,60,False,True,False,Como,STABLE,0
SIMEONE GIOVANNI,59,5.83,7.33,7.71,15,5.83,2.36,21/30,4/7,3/5,ATT,['Panchinaro'],60,60,False,False,False,Napoli,DOWN,15
TRAORE CHAKA,58,10.00,nd,nd,1,10.00,0.27,0/10,0/3,0/3,ATT,"['Outsider', 'Panchinaro', 'Giovane talento']",40,60,False,False,False,Milan,STABLE,1
CHARPENTIER GABRIEL,58,nd,nd,nd,24,0.00,0.00,11/20,3/5,0/3,ATT,['Panchinaro'],40,60,False,False,False,Parma,STABLE,0
ALMQVIST PONTUS,58,6.16,nd,nd,28,6.16,4.66,11/20,3/5,3/5,ATT,['Titolare'],40,60,False,True,False,Parma,STABLE,28
CASTRO SANTIAGO,57,7.33,nd,nd,3,7.33,0.59,0/10,3/5,0/3,ATT,"['Panchinaro', 'Goleador', 'Giovane talento']",20,60,True,False,False,Bologna,STABLE,3
SUCCESS ISAAC,57,5.81,6.17,6.82,18,5.81,2.83,11/20,0/3,0/3,ATT,"['Panchinaro', 'Falloso']",40,40,False,False,False,Udinese,DOWN,18
LAPADULA GIANLUCA,56,6.29,nd,nd,19,6.29,3.23,30+,8/11,3/5,ATT,"['Panchinaro', 'Goleador', 'Rigorista', 'Falloso']",60,60,True,False,False,Cagliari,STABLE,19
COLAK ANTONIO,56,nd,nd,nd,22,0.00,0.00,11/20,0/3,0/3,ATT,['Panchinaro'],40,60,False,False,False,Parma,STABLE,0
KEAN MOISE,56,5.92,6.52,6.68,13,5.92,2.08,21/30,8/11,3/5,ATT,"['Outsider', 'Titolare', 'Goleador', 'Falloso']",40,80,False,True,False,Fiorentina,DOWN,13
YALCIN GUVEN,55,nd,nd,nd,0,0.00,0.00,0/10,0/3,0/3,ATT,['Panchinaro'],20,60,False,True,False,Genoa,STABLE,0
PAVOLETTI LEONARDO,55,7.04,nd,6.37,14,7.04,2.66,11/20,4/7,0/3,ATT,"['Panchinaro', 'Buona Media']",40,60,False,False,False,Cagliari,STABLE,14
CERRI ALBERTO,55,6.10,nd,nd,10,6.10,1.65,11/20,3/5,0/3,ATT,['Panchinaro'],40,80,True,True,False,Como,STABLE,10
THAUVIN FLORIAN,55,6.90,5.68,nd,24,6.90,4.48,21/30,3/5,4/7,ATT,"['Outsider', 'Titolare', 'Buona Media', 'Assistman']",60,60,False,False,False,Udinese,UP,24
FINI SEYDOU,55,nd,nd,nd,3,6.00,0.49,0/10,0/3,0/3,ATT,"['Panchinaro', 'Giovane talento']",20,60,False,False,False,Genoa,STABLE,0
MORENTE TETE,53,nd,nd,nd,39,7.00,7.38,11/20,3/5,0/3,ATT,['Panchinaro'],40,60,False,True,False,Lecce,STABLE,0
MIHAILA VALENTIN,52,nd,nd,5.50,32,0.00,0.00,21/30,3/5,0/3,ATT,"['Outsider', 'Panchinaro']",40,60,False,False,False,Parma,STABLE,0
COLOMBO LORENZO,51,6.39,6.37,nd,23,6.39,3.97,11/20,3/5,3/5,ATT,"['Outsider', 'Panchinaro', 'Goleador', 'Rigorista', 'Falloso', 'Giovane talento']",40,60,False,False,False,Empoli,UP,23
PARTIPILO ANTHONY,51,nd,nd,nd,27,0.00,0.00,11/20,0/3,0/3,ATT,['Panchinaro'],40,40,False,False,False,Parma,STABLE,0
CORFITZEN JEPPE,51,nd,nd,nd,1,0.00,0.00,0/10,0/3,0/3,ATT,"['Panchinaro', 'Giovane talento']",20,60,False,False,True,Lecce,STABLE,0
GYTKJAER CHRISTIAN,46,nd,5.73,nd,38,0.00,0.00,11/20,3/5,0/2,ATT,['Panchinaro'],60,80,False,False,False,Venezia,STABLE,0
CAPUTO FRANCESCO,48,6.19,6.44,6.97,18,6.19,3.01,30+,12/15,3/5,ATT,"['Titolare', 'Goleador', 'Rigorista']",60,60,False,False,False,Empoli,DOWN,18
PIEROTTI SANTIAGO DANIEL,48,6.25,nd,nd,6,6.25,1.01,0/10,0/3,0/3,ATT,"['Panchinaro', 'Giovane talento']",40,60,False,False,False,Lecce,STABLE,6
TAVSAN ELAYIS,48,6.00,nd,nd,1,6.00,0.16,0/10,0/3,0/3,ATT,"['Panchinaro', 'Giovane talento']",40,60,False,False,False,Verona,STABLE,1
BANDA LAMECK,48,6.33,6.17,nd,21,6.33,3.59,11/20,0/3,3/5,ATT,"['Titolare', 'Giovane talento']",40,40,False,False,False,Lecce,UP,21
DAVIS KEINAN,47,5.88,nd,nd,4,5.88,0.64,11/20,3/5,0/2,ATT,['Panchinaro'],40,60,False,False,False,Udinese,STABLE,4
BRENNER SOUZA DA SILVA,44,5.83,nd,nd,3,5.83,0.47,21/30,8/11,3/5,ATT,"['Panchinaro', 'Goleador', 'Rigorista']",40,40,False,False,False,Udinese,STABLE,3
VITINHA VITOR MANUEL,40,7.00,nd,nd,4,7.00,0.76,21/30,4/7,3/5,ATT,"['Outsider', 'Titolare', 'Assistman']",40,60,False,False,False,Genoa,STABLE,4
SHPENDI STIVEN,39,5.72,nd,nd,9,5.72,1.39,0/10,0/3,0/3,ATT,"['Panchinaro', 'Giovane talento']",40,60,False,False,False,Empoli,STABLE,9
ANKEYE DAVID,36,5.75,nd,nd,2,5.75,0.31,0/10,0/3,0/3,ATT,"['Panchinaro', 'Goleador']",20,60,False,False,False,Genoa,STABLE,2
EKONG EMMANUEL,59,nd,nd,nd,21,0.00,0.00,11/20,3/5,3/5,ATT,"['Panchinaro', 'Giovane talento']",20,60,False,False,False,Empoli,STABLE,0
RAIMONDO ANTONIO,54,nd,nd,nd,38,7.00,7.19,11/20,3/5,0/3,ATT,"['Panchinaro', 'Giovane talento']",20,60,False,True,False,Venezia,STABLE,0
